team_abbreviation_home,team_abbreviation_away,lambda_h,lambda_a,win_prob,projected_spread
MEM,PHX,114.27,109.14,0.6345,-5.1
MEM,PHI,112.02,109.33,0.5718,-2.7
MEM,POR,112.05,110.7,0.5359,-1.3
MEM,SAS,113.18,109.22,0.6048,-4.0
MEM,BKN,112.02,109.28,0.5731,-2.7
MEM,DAL,111.23,109.66,0.5421,-1.6
MEM,SAC,110.01,112.05,0.4454,2.0
MEM,ATL,112.92,113.42,0.4868,0.5
MEM,CHA,113.61,107.16,0.668,-6.5
MEM,WAS,113.6,107.16,0.6678,-6.4
MEM,NOP,113.17,109.14,0.6067,-4.0
MEM,CHI,113.03,113.42,0.4897,0.4
MEM,MIA,110.97,112.53,0.4583,1.6
MEM,ORL,107.46,107.66,0.4944,0.2
MEM,MIL,111.88,112.71,0.4781,0.8
MEM,LAL,106.67,109.5,0.4239,2.8
MEM,DET,111.16,110.67,0.5132,-0.5
MEM,LAC,106.89,111.39,0.3802,4.5
MEM,HOU,106.58,111.33,0.3737,4.8
MEM,CLE,106.58,112.92,0.3342,6.3
MEM,GSW,106.3,106.16,0.504,-0.1
MEM,BOS,105.44,108.24,0.424,2.8
MEM,DEN,108.8,109.5,0.4811,0.7
MEM,MIN,106.5,109.5,0.4192,3.0
MEM,NYK,107.81,109.5,0.4543,1.7
MEM,OKC,106.48,111.34,0.371,4.9
MEM,IND,108.92,112.21,0.4123,3.3
MIA,UTA,118.33,109.54,0.7198,-8.8
MIA,TOR,112.68,109.41,0.587,-3.3
MIA,PHX,118.83,108.81,0.7467,-10.0
MIA,PHI,116.05,109.01,0.6805,-7.0
MIA,POR,116.07,110.37,0.6475,-5.7
MIA,SAS,117.69,108.89,0.7206,-8.8
MIA,BKN,116.05,108.96,0.6817,-7.1
MIA,DAL,114.15,109.33,0.6262,-4.8
MIA,SAC,112.95,111.97,0.526,-1.0
MIA,ATL,117.7,113.57,0.607,-4.1
MIA,CHA,118.14,107.06,0.7698,-11.1
MIA,WAS,118.13,107.06,0.7696,-11.1
MIA,NOP,117.68,108.81,0.7223,-8.9
MIA,CHI,117.81,113.57,0.6098,-4.2
